,id,city,country,lon,lat,date,temperature,humidity,cloudiness,wind speed
154,2949229,Biedenkopf,DE,8.53,50.92,2018-04-03 17:00:00,55.56,71,0,3.36
158,64013,Bosaso,SO,49.18,11.28,2018-04-03 17:00:00,80.12,98,48,7.4
169,1000543,Graaff-Reinet,ZA,24.53,-32.25,2018-04-03 17:00:00,69.05,65,56,7.29
178,605155,Kiruna,SE,20.23,67.86,2018-04-03 17:00:00,23,62,0,9.17
179,4760059,Fredericksburg,US,-77.46,38.3,2018-04-03 17:00:00,50.32,81,90,4.7
180,1817135,Bama,CN,107.25,24.14,2018-04-03 17:00:00,71.21,77,56,5.28
192,2525727,Amantea,IT,16.07,39.13,2018-04-03 17:00:00,59,72,20,23.04
201,4589590,Totness,US,-80.8,33.74,2018-04-03 17:00:00,81.1,37,75,12.75
202,340358,Dabat,ET,37.77,12.98,2018-04-03 17:00:00,57.62,72,8,2.82
217,2457163,Gao,ML,-0.04,16.28,2018-04-03 17:00:00,99.2,14,0,5.73
221,3871336,Santiago,CL,-70.65,-33.44,2018-04-03 17:00:00,77,31,0,3.36
227,97783,Bayji,IQ,43.49,34.93,2018-04-03 17:00:00,74.45,36,92,5.61
239,6065867,Marathon,CA,-86.38,48.72,2018-04-03 17:00:00,21.2,34,40,2.24
242,933077,Shakawe,BW,21.84,-18.36,2018-04-03 17:00:00,79.94,31,56,7.4
250,1337613,Kulhudhuffushi,MV,73.07,6.62,2018-04-03 17:00:00,83.72,100,68,4.72
256,3445764,Unai,BR,-46.91,-16.36,2018-04-03 17:00:00,87.14,55,56,4.5
265,1337610,Thinadhoo,MV,72.93,0.53,2018-04-03 17:00:00,84.8,100,44,1.59
277,1250161,Batticaloa,LK,81.69,7.71,2018-04-03 17:00:00,79.76,100,8,5.39
295,3126369,Carballo,ES,-8.69,43.21,2018-04-03 17:00:00,50.81,66,40,19.46
300,186180,Moyale,ET,39.05,3.52,2018-04-03 17:00:00,67.7,99,56,2.15
311,239899,Bria,CF,21.99,6.54,2018-04-03 17:00:00,82.01,46,8,7.07
349,6055388,Little Current,CA,-81.93,45.98,2018-04-03 17:00:00,33.8,80,90,13.87
354,685981,Manta,RO,24.1,45.1,2018-04-03 17:00:00,45.56,80,0,2.82
359,1058381,Morondava,MG,44.28,-20.3,2018-04-03 17:00:00,82.64,86,56,6.73
360,101312,Turayf,SA,38.65,31.68,2018-04-03 17:00:00,75.2,31,75,6.93
374,3650121,Olinda,EC,-79.75,-2.03,2018-04-03 17:00:00,80.6,69,75,4.7
376,115770,Shahr-e Kord,IR,50.85,32.33,2018-04-03 17:00:00,53.6,14,0,4.7
